iter	MultiClass
0	1.360789299
1	1.336621753
2	1.312262399
3	1.29445486
4	1.276187177
5	1.261546738
6	1.247480198
7	1.234548179
8	1.224964829
9	1.216337506
10	1.208777058
11	1.201583211
12	1.193824296
13	1.186688936
14	1.180267392
15	1.174726129
16	1.171413701
17	1.167727986
18	1.162783078
19	1.158832405
20	1.154713576
21	1.151329217
22	1.148125381
23	1.145719739
24	1.143207631
25	1.141641211
26	1.13876452
27	1.137448316
28	1.134107213
29	1.131699538
30	1.129473058
31	1.127050283
32	1.125718262
33	1.124177356
34	1.122518185
35	1.121424071
36	1.119878901
37	1.118547762
38	1.116522035
39	1.114724711
40	1.112868179
41	1.112145825
42	1.111183214
43	1.110226496
44	1.108814289
45	1.107512381
46	1.106546695
47	1.105544818
48	1.104444109
49	1.103477432
50	1.102959497
51	1.102642092
52	1.101616415
53	1.100999202
54	1.100015579
55	1.099161503
56	1.098347256
57	1.097842091
58	1.097173372
59	1.096638686
60	1.09561381
61	1.095151938
62	1.094383875
63	1.093642437
64	1.092916002
65	1.092561118
66	1.092345417
67	1.091798067
68	1.091187425
69	1.089925248
70	1.089500173
71	1.088707409
72	1.088294885
73	1.087866489
74	1.087609543
75	1.086802178
76	1.086133328
77	1.085551122
78	1.0851502
79	1.084593544
80	1.084175627
81	1.083763586
82	1.083520119
83	1.083017845
84	1.082752399
85	1.082480795
86	1.081907756
87	1.08154087
88	1.08103027
89	1.080745902
90	1.079367648
91	1.079057018
92	1.078762119
93	1.078204311
94	1.077389653
95	1.077134469
96	1.076838555
97	1.076231729
98	1.075689024
99	1.075270219
100	1.074992524
101	1.074764058
102	1.074267629
103	1.073926971
104	1.073266331
105	1.073046558
106	1.072749561
107	1.072375086
108	1.072180903
109	1.072002134
110	1.071776953
111	1.071512199
112	1.070795982
113	1.070605761
114	1.069684635
115	1.069304354
116	1.069052712
117	1.068795805
118	1.06842908
119	1.068027671
120	1.067650416
121	1.067448577
122	1.067279041
123	1.066445981
124	1.066097096
125	1.065947992
126	1.065499781
127	1.065282554
128	1.064845521
129	1.064644619
130	1.0644791
131	1.064217299
132	1.063918669
133	1.063700927
134	1.063319331
135	1.063073438
136	1.062975372
137	1.062690935
138	1.062567069
139	1.062394541
140	1.061977449
141	1.061789164
142	1.061416126
143	1.061282673
144	1.060942359
145	1.060077035
146	1.059837034
147	1.059587839
148	1.059440313
149	1.059166236
150	1.058884814
151	1.058622789
152	1.05847885
153	1.058255082
154	1.057968097
155	1.057863122
156	1.057666275
157	1.057302753
158	1.057064319
159	1.056918323
160	1.056718759
161	1.05640177
162	1.056329349
163	1.056186011
164	1.055929646
165	1.055735756
166	1.055593341
167	1.055508158
168	1.054434736
169	1.05417563
170	1.053773559
171	1.053466438
172	1.053213541
173	1.05293866
174	1.052710184
175	1.052579569
176	1.052396607
177	1.052118362
178	1.05183976
179	1.051637332
180	1.051446118
181	1.051122561
182	1.050836309
183	1.050686443
184	1.050589788
185	1.050241364
186	1.050104479
187	1.049994095
188	1.049745524
189	1.049597201
