iter	Passed	Remaining
0	3	740
1	7	696
2	10	677
3	13	668
4	17	679
5	20	672
6	24	663
7	27	653
8	30	648
9	36	698
10	39	686
11	43	676
12	46	670
13	49	659
14	52	650
15	55	642
16	60	649
17	63	640
18	66	632
19	69	625
20	72	617
21	75	611
22	78	604
23	81	598
24	84	593
25	87	588
26	91	583
27	94	578
28	97	573
29	100	568
30	103	564
31	106	560
32	109	556
33	112	551
34	115	546
35	119	542
36	122	538
37	125	534
38	128	530
39	131	526
40	134	522
41	137	518
42	140	514
43	143	510
44	147	506
45	150	502
46	153	498
47	156	494
48	159	490
49	162	486
50	165	483
51	168	479
52	171	476
53	174	472
54	177	468
55	180	464
56	183	461
57	186	457
58	189	453
59	192	450
60	196	446
61	199	443
62	202	439
63	205	436
64	208	432
65	211	428
66	214	425
67	217	421
68	220	418
69	223	414
70	226	411
71	229	408
72	232	404
73	235	401
74	239	399
75	242	396
76	246	393
77	249	389
78	252	386
79	255	383
80	258	379
81	261	376
82	264	373
83	267	369
84	270	366
85	273	362
86	275	357
87	278	354
88	281	350
89	284	347
90	287	344
91	290	340
92	293	337
93	296	334
94	299	331
95	302	328
96	305	324
97	308	321
98	312	318
99	315	315
100	318	311
101	321	308
102	324	305
103	327	302
104	330	298
105	333	295
106	336	292
107	339	289
108	342	286
109	345	282
110	348	279
111	352	276
112	355	273
113	358	270
114	361	266
115	364	263
116	367	260
117	370	257
118	373	254
119	376	251
120	379	247
121	382	244
122	385	241
123	389	238
124	392	235
125	395	232
126	398	228
127	401	225
128	404	222
129	407	219
130	410	216
131	413	213
132	416	209
133	419	206
134	422	203
135	425	200
136	428	197
137	432	194
138	435	190
139	438	187
140	441	184
141	444	181
142	447	178
143	450	175
144	453	172
145	456	168
146	459	165
147	463	162
148	466	159
149	469	156
150	472	153
151	475	150
152	478	146
153	481	143
154	484	140
155	487	137
156	491	134
157	494	131
158	497	128
159	500	125
160	503	121
161	506	118
162	509	115
163	512	112
164	515	109
165	518	106
166	521	103
167	524	99
168	527	96
169	531	93
170	534	90
171	537	87
172	540	84
173	543	81
174	546	78
175	549	74
176	552	71
177	555	68
178	558	65
179	562	62
180	565	59
181	568	56
182	571	53
183	574	49
184	577	46
185	580	43
186	583	40
187	587	37
188	590	34
189	593	31
190	596	28
191	599	24
192	602	21
193	605	18
194	608	15
195	612	12
196	615	9
197	618	6
198	621	3
199	624	0
